id,team_id,treatment,region,organization,job_family,performance_rating,gender,age,tenure_months,num_direct_reports,tot_span_of_control,baseline_manager_efficacy,baseline_workload,baseline_stay_intention,propensity_score,exit_date,manager_efficacy_index,workload_index_mgr,stay_intention_index_mgr
1,528,0,Latin America,Manufacturing,Market Access,Meets,Male,38,9,9,25,1.75,3.84,1.97,0.0348,,2.8,3.7,2.1
2,216,0,Middle East & Africa,Commercial,Regulatory Affairs,Exceeds,Male,43,5,5,24,2.69,3.56,2.57,0.0743,,3.3,3.1,3.3
3,454,0,Asia Pacific,Manufacturing,Market Access,Exceeds,Male,38,7,12,14,3.91,2.16,1.0,0.0616,,3.5,2.5,1.0
4,336,0,Middle East & Africa,Commercial,Pharmacovigilance,Exceeds,Male,26,16,6,10,3.22,4.05,2.6,0.0743,2026-05-08,,,
5,879,0,Middle East & Africa,HR,IT & Digital,Meets,Male,45,10,10,17,3.68,4.33,3.12,0.0383,,3.3,3.0,2.4
6,589,0,Europe,Digital,Quality Assurance,Meets,Male,39,32,7,14,4.08,3.07,2.41,0.0853,2026-03-24,,,
7,918,0,Asia Pacific,Finance,Data Science,Below,Female,25,14,5,12,4.46,3.99,3.75,0.0,,5.0,2.5,4.1
8,198,0,Asia Pacific,Commercial,Clinical Operations,Exceeds,Female,47,15,8,22,3.59,3.1,2.07,0.0743,,2.9,2.3,2.1
9,592,0,Asia Pacific,Digital,Medical Affairs,Meets,Male,47,9,6,11,4.69,3.04,2.43,0.0853,,3.1,4.2,4.3
10,705,0,Middle East & Africa,Digital,Quality Assurance,Below,Female,32,14,8,25,2.31,2.7,1.68,0.0,,3.8,3.8,2.3
11,218,0,Latin America,Commercial,Data Science,Meets,Female,29,9,8,21,2.94,2.05,3.71,0.0422,,2.5,2.5,2.6
12,782,0,Asia Pacific,HR,Market Access,Meets,Male,45,12,7,17,2.69,2.35,1.75,0.0383,,3.7,3.4,1.8
13,45,0,Middle East & Africa,R&D,IT & Digital,Meets,Female,45,17,11,30,3.33,1.97,4.12,0.0977,,3.9,2.2,3.9
14,590,0,Europe,Digital,Regulatory Affairs,Below,Male,41,5,11,26,3.43,4.15,2.01,0.0,2026-02-10,,,
15,685,0,Latin America,Digital,Supply Chain,Meets,Male,35,14,12,44,2.8,3.04,3.37,0.0853,,3.3,2.1,3.9
16,840,0,Europe,HR,Medical Affairs,Below,Female,33,12,5,13,4.21,4.15,1.99,0.0,,3.9,3.0,3.3
17,813,0,Latin America,HR,Marketing,Meets,Male,42,29,8,19,1.0,1.01,1.55,0.0383,,1.0,3.6,1.4
18,450,0,Middle East & Africa,Manufacturing,Sales,Exceeds,Male,34,6,12,23,4.19,1.99,2.86,0.0616,,3.3,2.5,3.5
19,833,0,North America,HR,Regulatory Affairs,Meets,Female,34,10,7,16,2.75,2.53,1.36,0.0383,,3.9,2.4,2.3
20,546,0,Latin America,Digital,Market Access,Meets,Female,43,8,8,21,3.62,3.86,4.99,0.0853,,5.0,3.1,3.1
21,346,0,Europe,Commercial,Regulatory Affairs,Meets,Female,44,5,8,11,2.17,3.18,2.95,0.0422,2026-01-08,,,
22,64,0,Middle East & Africa,R&D,Legal & Compliance,Meets,Female,47,13,6,15,3.45,3.0,2.69,0.0977,,3.9,2.8,2.9
23,364,0,Latin America,Manufacturing,Pharmacovigilance,Meets,Female,27,2,6,13,3.46,1.43,1.0,0.0348,,4.4,2.6,1.0
24,206,0,North America,Commercial,Human Resources,Far Exceeds,Female,35,9,12,31,4.14,3.75,2.95,0.1275,,3.8,3.9,3.0
