id,team_id,treatment,region,organization,job_family,performance_rating,gender,age,tenure_months,num_direct_reports,tot_span_of_control,baseline_manager_efficacy,baseline_workload,baseline_stay_intention,propensity_score,exit_date,manager_efficacy_index,workload_index_mgr,stay_intention_index_mgr
1,461,0,Latin America,Manufacturing,Market Access,Meets,Male,38,9,9,18,1.75,3.84,1.97,0.0348,,2.8,3.7,2.1
2,237,0,Middle East & Africa,Commercial,Regulatory Affairs,Exceeds,Male,43,5,6,9,2.69,3.56,2.57,0.0743,,3.3,3.1,3.3
3,412,0,Asia Pacific,Manufacturing,Market Access,Exceeds,Male,38,7,5,30,3.91,2.16,1.0,0.0616,,3.5,2.5,1.0
4,295,0,Middle East & Africa,Commercial,Pharmacovigilance,Exceeds,Male,26,16,6,23,3.22,4.05,2.6,0.0743,2026-05-08,,,
5,808,0,Middle East & Africa,HR,IT & Digital,Meets,Male,45,10,10,21,3.68,4.33,3.12,0.0383,,3.3,3.0,2.4
6,651,0,Europe,Digital,Quality Assurance,Meets,Male,39,32,8,27,4.08,3.07,2.41,0.0853,2026-03-24,,,
7,1045,0,Asia Pacific,Finance,Data Science,Below,Female,25,14,11,25,4.46,3.99,3.75,0.0,,5.0,2.5,4.1
8,281,0,Asia Pacific,Commercial,Clinical Operations,Exceeds,Female,47,15,9,39,3.59,3.1,2.07,0.0743,,2.9,2.3,2.1
9,686,0,Asia Pacific,Digital,Medical Affairs,Meets,Male,47,9,6,8,4.69,3.04,2.43,0.0853,,3.1,4.2,4.3
10,691,0,Middle East & Africa,Digital,Quality Assurance,Below,Female,32,14,11,18,2.31,2.7,1.68,0.0,,3.8,3.8,2.3
11,300,0,Latin America,Commercial,Data Science,Meets,Female,29,9,11,14,2.94,2.05,3.71,0.0422,,2.5,2.5,2.6
12,777,0,Asia Pacific,HR,Market Access,Meets,Male,45,12,12,16,2.69,2.35,1.75,0.0383,,3.7,3.4,1.8
13,173,0,Middle East & Africa,R&D,IT & Digital,Meets,Female,45,17,12,13,3.33,1.97,4.12,0.0977,,3.9,2.2,3.9
14,639,0,Europe,Digital,Regulatory Affairs,Below,Male,41,5,12,20,3.43,4.15,2.01,0.0,2026-02-10,,,
15,589,0,Latin America,Digital,Supply Chain,Meets,Male,35,14,9,25,2.8,3.04,3.37,0.0853,,3.3,2.1,3.9
16,759,0,Europe,HR,Medical Affairs,Below,Female,33,12,7,9,4.21,4.15,1.99,0.0,,3.9,3.0,3.3
17,841,0,Latin America,HR,Marketing,Meets,Male,42,29,10,16,1.0,1.01,1.55,0.0383,,1.0,3.6,1.4
18,439,0,Middle East & Africa,Manufacturing,Sales,Exceeds,Male,34,6,7,34,4.19,1.99,2.86,0.0616,,3.3,2.5,3.5
19,840,0,North America,HR,Regulatory Affairs,Meets,Female,34,10,9,32,2.75,2.53,1.36,0.0383,,3.9,2.4,2.3
20,585,0,Latin America,Digital,Market Access,Meets,Female,43,8,12,41,3.62,3.86,4.99,0.0853,,5.0,3.1,3.1
21,196,0,Europe,Commercial,Regulatory Affairs,Meets,Female,44,5,12,21,2.17,3.18,2.95,0.0422,2026-01-08,,,
22,24,0,Middle East & Africa,R&D,Legal & Compliance,Meets,Female,47,13,6,20,3.45,3.0,2.69,0.0977,,3.9,2.8,2.9
23,399,0,Latin America,Manufacturing,Pharmacovigilance,Meets,Female,27,2,6,20,3.46,1.43,1.0,0.0348,,4.4,2.6,1.0
24,299,0,North America,Commercial,Human Resources,Far Exceeds,Female,35,9,7,11,4.14,3.75,2.95,0.1275,,3.8,3.9,3.0
25,86,0,North America,R&D,Market Access,Meets,Male,36,9,6,21,4.05,2.98,3.47,0.0977,,2.3,3.7,2.6
26,121,0,Asia Pacific,R&D,Regulatory Affairs,Meets,Female,38,8,7,11,2.08,4.8,2.1,0.0977,,3.9,4.7,1.0
27,65,0,Asia Pacific,R&D,Quality Assurance,Meets,Female,30,7,12,19,3.23,1.0,2.59,0.0977,,3.1,3.1,1.9
28,943,0,Europe,Finance,Quality Assurance,Exceeds,Male,41,4,10,26,4.04,2.88,3.05,0.0588,,2.9,2.6,1.4
29,243,0,Latin America,Commercial,Clinical Operations,Below,Female,49,9,6,10,2.76,1.94,4.26,0.0,,2.4,2.4,1.3
30,366,0,Latin America,Manufacturing,Clinical Operations,Meets,Female,31,21,9,28,1.75,1.9,1.52,0.0348,,3.3,2.8,3.7
31,502,0,Asia Pacific,Manufacturing,Finance & Accounting,Exceeds,Male,39,14,10,23,3.31,2.37,3.84,0.0616,,3.3,3.2,3.5
32,147,0,Latin America,R&D,Medical Affairs,Exceeds,Male,46,14,5,25,2.07,4.49,3.44,0.1648,,1.0,2.6,2.0
33,256,0,Latin America,Commercial,Regulatory Affairs,Meets,Male,37,15,6,18,2.74,3.05,1.36,0.0422,2026-02-05,,,
34,1041,0,North America,Finance,IT & Digital,Meets,Female,34,11,7,12,2.48,2.74,1.0,0.0331,,3.3,1.5,1.2
35,68,0,Asia Pacific,R&D,Communications,Meets,Male,39,7,12,18,3.04,2.76,1.75,0.0977,,2.8,3.5,2.3
36,824,0,Middle East & Africa,HR,Clinical Operations,Meets,Male,42,26,5,21,4.21,3.32,2.26,0.0383,2026-02-26,,,
37,437,0,Asia Pacific,Manufacturing,Pharmacovigilance,Exceeds,Male,30,8,7,25,3.77,2.54,1.35,0.0616,,3.2,2.4,2.2
38,686,0,Middle East & Africa,Digital,Finance & Accounting,Below,Female,44,19,11,21,4.27,3.28,3.05,0.0,,3.9,3.5,2.9
39,17,0,North America,R&D,Data Science,Meets,Female,37,27,10,19,3.69,3.21,1.58,0.0977,2026-07-16,3.8,3.0,3.0
40,794,0,Europe,HR,Legal & Compliance,Exceeds,Female,34,9,8,11,3.4,2.9,3.21,0.0677,2026-03-16,,,
41,497,0,Latin America,Manufacturing,Legal & Compliance,Meets,Male,29,6,11,15,4.37,3.37,2.34,0.0348,,4.5,3.1,1.5
42,1021,1,North America,Finance,Legal & Compliance,Meets,Female,34,22,10,28,2.04,2.28,2.44,0.0331,2026-09-17,2.0,4.3,3.9
43,205,0,Latin America,Commercial,Clinical Operations,Meets,Female,34,8,7,14,4.47,2.8,3.82,0.0422,,2.5,3.2,4.4
44,401,0,Europe,Manufacturing,Regulatory Affairs,Exceeds,Female,31,19,7,12,3.75,1.73,3.78,0.0616,2026-01-16,,,
45,209,0,Europe,Commercial,Quality Assurance,Far Exceeds,Female,41,15,9,13,4.05,1.32,3.41,0.1275,,3.1,2.2,4.2
46,249,0,North America,Commercial,Sales,Meets,Male,39,10,8,19,2.8,4.25,1.48,0.0422,2026-06-19,,,
47,1043,0,Europe,Finance,Human Resources,Exceeds,Male,44,3,6,11,2.58,3.71,1.56,0.0588,,3.6,4.1,1.0
